N	NI	D	RH	RM	RS	V	DG	DM	DS	VMAG
N	222	*	0	40	43.7	-	73	23	9	12.2
N	223	*	0	42	15.9	+	0	50	46	13.2
N	224	*	0	42	44.3	+	41	16	8	3.4
N	225	*	0	43	36.0	+	61	46	0	7.0
N	226	*	0	42	53.9	+	32	34	49	13.4
N	227	*	0	42	36.6	-	1	31	41	12.2
N	228	*	0	42	54.5	+	23	30	12	13.7
N	229	*	0	43	4.7	+	23	30	34	14.1
N	230	*	0	42	27.0	-	23	37	44	14.5
N	231	*	0	41	6.4	-	73	21	9	12.7
N	232	*	0	42	45.7	-	23	33	42	13.3
N	233	*	0	43	36.5	+	30	35	13	12.4
N	234	*	0	43	32.3	+	14	20	33	12.6
N	235	*	0	42	52.7	-	23	32	28	13.2
N	235		0	42	53.8	-	23	32	43	13.5
N	236	*	0	43	27.4	+	2	57	29	13.5
N	237	*	0	43	27.9	-	0	7	31	13.0
N	238	*	0	43	25.6	-	50	10	58	12.5
N	239	*	0	44	37.5	-	3	45	36	13.3
N	240	*	0	45	1.9	+	6	6	46	13.7
N	241	*	0	43	33.2	-	73	26	33	
N	242	*	0	43	33.2	-	73	26	33	
N	243	*	0	46	0.7	+	29	57	35	13.7
N	244	*	0	45	46.5	-	15	35	50	12.9
N	245	*	0	46	5.5	-	1	43	24	12.3
N	246	*	0	47	3.3	-	11	52	17	10.9
N	247	*	0	47	8.3	-	20	45	36	9.1
N	248	*	0	45	24.0	-	73	22	49	
N	249	*	0	45	31.8	-	73	4	49	
N	250	*	0	47	16.0	+	7	54	36	13.8
N	251	*	0	47	53.9	+	19	35	49	13.2
N	252	*	0	48	1.7	+	27	37	24	12.4
N	253	*	0	47	33.1	-	25	17	15	7.2
N	254	*	0	47	27.5	-	31	25	19	11.7
N	255	*	0	47	47.3	-	11	28	6	11.9
N	256	*	0	45	53.3	-	73	30	25	12.7
N	257	*	0	48	1.6	+	8	17	48	12.6
N	258	*	0	48	12.8	+	27	39	28	14.2
N	259	*	0	48	3.2	-	2	46	33	12.8
N	260	*	0	48	34.9	+	27	41	31	13.5
N	261	*	0	46	27.9	-	73	6	14	
N	262	*	0	48	47.1	+	31	57	27	13.1
N	263	*	0	48	48.4	-	13	6	26	14.3
N	264	*	0	48	20.9	-	38	14	4	13.5
N	265	*	0	47	11.1	-	73	28	38	12.2
N	266	*	0	49	47.8	+	32	16	39	11.6
N	267	*	0	48	2.9	-	73	16	27	
N	268	*	0	50	9.4	-	5	11	38	13.1
N	269	*	0	48	21.0	-	73	31	54	13.3
N	270	*	0	50	32.4	-	8	39	6	12.9
N	271	*	0	50	41.9	-	1	54	38	12.0
N	272	*	0	51	26.0	+	35	49	18	8.5
N	273	*	0	50	48.4	-	6	53	8	12.9
N	274	*	0	51	1.8	-	7	3	24	11.8
N	275	*	0	51	4.5	-	7	3	55	12.5
N	276	*	0	52	6.5	-	22	40	49	14.7
N	277	*	0	51	17.2	-	8	35	47	13.7
N	278	*	0	52	4.5	+	47	33	3	10.8
N	279	*	0	52	8.9	-	2	13	6	12.7
N	280	*	0	52	30.2	+	24	21	3	13.3
N	281	*	0	52	53.8	+	56	37	30	
N	282	*	0	52	42.0	+	30	38	20	13.7
N	283	*	0	53	13.1	-	13	9	48	14.1
N	284	*	0	53	24.2	-	13	9	30	14.4
N	285	*	0	53	29.8	-	13	9	37	14.7
N	286	*	0	53	30.3	-	13	6	44	14.1
N	287	*	0	53	28.3	+	32	28	57	14.0
N	288	*	0	52	45.5	-	26	35	51	8.1
N	289	*	0	52	42.1	-	31	12	20	11.0
N	290	*	0	51	14.7	-	73	9	45	12.0
N	291	*	0	53	29.8	-	8	46	3	13.9
N	292	*	0	52	38.0	-	72	48	0	2.3
N	293	*	0	54	16.0	-	7	14	8	14.2
N	294	*	0	53	5.7	-	73	22	50	12.7
N	295	*	0	59	32.3	+	31	47	53	14.2
N	296	*	0	55	7.4	+	31	32	32	12.6
N	297	*	0	54	58.9	-	7	21	1	15.5
N	298	*	0	55	2.2	-	7	20	1	13.8
N	299	*	0	53	24.7	-	72	11	47	
N	300	*	0	54	53.3	-	37	41	3	8.1
N	301	*	0	56	18.3	-	10	40	24	14.8
N	302	*	0	56	25.2	-	10	39	44	
N	303	*	0	54	54.6	-	16	39	18	14.3
N	304	*	0	56	6.0	+	24	7	38	13.1
N	305	*	0	56	21.0	+	12	3	48	
N	306	*	0	54	15.1	-	72	14	33	
N	307	*	0	56	32.5	-	1	46	20	12.8
N	308	*	0	56	34.3	-	1	47	1	
N	309	*	0	56	42.6	-	9	54	51	11.9
N	310	*	0	56	47.9	-	1	45	53	
N	311	*	0	57	32.8	+	30	16	49	13.0
N	312	*	0	56	15.7	-	52	46	59	12.4
N	313	*	0	57	45.7	+	30	22	0	
N	314	*	0	56	52.4	-	31	57	47	13.4
N	315	*	0	57	49.0	+	30	21	7	11.2
N	316	*	0	57	52.4	+	30	21	16	
N	317		0	57	39.0	+	43	48	5	13.5
N	317	*	0	57	40.5	+	43	47	31	13.4
N	318	*	0	58	5.2	+	30	25	34	14.4
N	319	*	0	56	57.6	-	43	50	19	13.4
N	320	*	0	58	46.4	-	20	50	25	13.8
N	321	*	0	57	39.2	-	5	5	9	15.0
N	322	*	0	57	10.0	-	43	43	37	13.4
N	322		0	57	9.1	-	43	43	48	16.5
N	323	*	0	56	41.7	-	52	58	33	12.6
N	324	*	0	57	14.6	-	40	57	34	12.9
N	325	*	0	57	47.9	-	5	6	45	14.8
N	326	*	0	58	22.6	+	26	51	57	13.2
N	327	*	0	57	55.2	-	5	7	51	13.4
N	328	*	0	56	57.3	-	52	55	25	13.4
N	329	*	0	58	1.4	-	5	4	14	13.3
N	330	*	0	56	19.8	-	72	27	44	9.6
N	331	*	0	47	6.7	-	2	43	52	14.6
N	332	*	0	58	49.0	+	7	6	40	14.0
N	333	*	0	58	51.3	-	16	28	8	13.9
N	333		0	58	51.3	-	16	28	8	13.9
N	333		0	58	50.9	-	16	28	19	14.7
N	334	*	0	58	49.8	-	35	6	56	13.6
N	335	*	0	59	19.6	-	18	14	3	14.0
N	336	*	0	58	3.0	-	18	23	9	14.7
N	337	*	0	59	49.9	-	7	34	41	11.6
