N	NI	D	RH	RM	RS	V	DG	DM	DS	VMAG
N	3831	*	11	43	18.6	-	12	52	41	12.7
N	3832	*	11	43	31.4	+	22	43	31	13.0
N	3833	*	11	43	28.9	+	10	9	41	13.5
N	3834	*	11	43	37.7	+	19	5	26	13.5
N	3835	*	11	44	5.0	+	60	7	13	12.4
N	3835		11	47	22.8	+	60	18	2	13.1
N	3836	*	11	43	29.8	-	16	47	51	12.9
N	3837	*	11	43	56.6	+	19	53	41	13.3
N	3838	*	11	44	13.4	+	57	56	55	12.3
N	3839	*	11	43	54.4	+	10	47	4	13.3
N	3840	*	11	43	59.0	+	20	4	37	13.8
N	3841	*	11	44	2.1	+	19	58	20	13.6
N	3842	*	11	44	2.0	+	19	57	0	11.8
N	3843	*	11	43	54.6	+	7	55	34	13.5
N	3844	*	11	44	0.9	+	20	1	46	13.9
N	3845	*	11	44	5.5	+	19	59	46	14.0
N	3846	*	11	44	28.9	+	55	39	8	13.4
N	3846		11	44	14.8	+	55	2	6	13.3
N	3847	*	11	44	14.0	+	33	30	52	13.3
N	3848	*	11	42	11.1	+	10	16	41	13.1
N	3849	*	11	45	35.2	+	3	13	56	13.7
N	3850	*	11	45	35.5	+	55	53	12	13.3
N	3851	*	11	44	20.4	+	19	58	52	14.7
N	3852	*	11	42	23.8	+	10	15	53	13.0
N	3853	*	11	44	28.3	+	16	33	30	12.4
N	3854	*	11	44	51.9	-	9	13	59	12.0
N	3855	*	11	44	25.8	+	33	21	21	14.0
N	3856	*	11	44	14.0	+	33	30	52	13.3
N	3857	*	11	44	50.1	+	19	31	59	14.1
N	3858	*	11	45	11.6	-	9	18	52	13.2
N	3859	*	11	44	52.4	+	19	27	17	14.1
N	3860	*	11	44	49.2	+	19	47	42	13.4
N	3860		11	44	47.6	+	19	46	24	14.2
N	3861	*	11	45	3.8	+	19	58	25	12.7
N	3861		11	45	7.0	+	19	58	1	14.7
N	3862	*	11	45	5.0	+	19	36	23	12.7
N	3863	*	11	45	5.5	+	8	28	12	12.9
N	3864	*	11	45	15.6	+	19	23	32	14.2
N	3865	*	11	44	51.9	-	9	13	59	12.0
N	3866	*	11	45	11.6	-	9	18	52	13.2
N	3867	*	11	45	29.6	+	19	24	1	13.2
N	3868	*	11	45	30.0	+	19	26	41	14.4
N	3869	*	11	45	45.5	+	10	49	29	12.8
N	3870	*	11	45	56.6	+	50	12	2	13.0
N	3871	*	11	46	10.1	+	33	6	34	14.8
N	3872	*	11	45	48.9	+	13	46	0	11.7
N	3873	*	11	45	46.0	+	19	46	26	12.9
N	3874	*	11	45	37.9	+	8	34	27	
N	3875	*	11	45	49.4	+	19	46	3	13.9
N	3876	*	11	45	26.5	+	9	9	39	12.8
N	3877	*	11	46	7.3	+	47	29	40	11.0
N	3878	*	11	46	17.7	+	33	12	18	12.8
N	3879	*	11	46	49.6	+	69	23	0	13.0
N	3880	*	11	46	22.2	+	33	9	44	13.9
N	3881	*	11	46	34.4	+	33	6	25	13.9
N	3882	*	11	46	6.1	-	56	23	20	12.0
N	3883	*	11	46	47.1	+	20	40	33	12.7
N	3884	*	11	46	12.1	+	20	23	29	12.6
N	3885	*	11	46	46.5	-	27	55	20	10.9
N	3886	*	11	47	5.5	+	19	50	14	13.1
N	3887	*	11	47	4.6	-	16	51	14	10.6
N	3888	*	11	47	34.9	+	55	57	58	12.1
N	3889	*	11	47	48.1	+	56	1	7	14.8
N	3890	*	11	49	19.5	+	74	18	7	13.3
N	3891	*	11	48	3.2	+	30	21	35	12.4
N	3892	*	11	48	1.0	-	10	57	44	11.5
N	3893	*	11	48	38.2	+	48	42	41	10.5
N	3894	*	11	48	50.2	+	59	24	59	11.6
N	3895	*	11	49	3.8	+	59	25	59	13.1
N	3896	*	11	48	56.3	+	48	40	29	12.9
N	3897	*	11	48	59.4	+	35	0	57	12.9
N	3898	*	11	49	15.3	+	56	5	5	10.7
N	3899	*	11	50	4.5	+	26	28	49	12.4
N	3900	*	11	49	9.3	+	27	1	18	11.4
N	3901	*	11	42	49.2	+	77	22	22	13.7
N	3902	*	11	49	18.7	+	26	7	18	12.8
N	3903	*	11	49	3.3	-	37	31	2	12.8
N	3904	*	11	49	13.2	-	29	16	37	10.9
N	3905	*	11	49	4.9	-	9	43	44	12.8
N	3906	*	11	49	40.2	+	48	25	32	12.9
N	3907	*	11	49	30.1	-	1	5	10	13.1
N	3907		11	49	30.1	-	1	5	10	13.1
N	3907		11	49	23.5	-	1	5	3	13.1
N	3908	*	11	49	52.6	+	12	11	11	15.0
N	3909	*	11	49	30.0	-	48	15	54	
N	3910	*	11	49	59.3	+	21	20	2	12.8
N	3911	*	11	50	5.9	+	24	55	13	14.5
N	3912	*	11	50	4.5	+	26	28	49	12.4
N	3913	*	11	50	38.4	+	55	21	14	12.6
N	3914	*	11	50	32.6	+	6	34	3	13.2
N	3915	*	11	49	24.2	-	5	7	5	13.9
N	3916	*	11	50	51.2	+	55	8	37	13.9
N	3917	*	11	50	45.6	+	51	49	29	11.8
N	3917		11	51	13.4	+	52	0	5	13.4
N	3918	*	11	50	17.8	-	57	10	55	8.1
N	3919	*	11	50	41.5	+	20	0	56	13.3
N	3920	*	11	49	22.1	+	24	56	19	13.3
N	3921	*	11	51	6.8	+	55	4	46	12.4
N	3922	*	11	51	13.4	+	50	9	24	12.8
N	3923	*	11	51	1.6	-	28	48	21	9.8
N	3924	*	11	51	13.4	+	50	9	24	12.8
N	3925	*	11	51	20.9	+	21	53	19	14.5
N	3926	*	11	51	26.5	+	22	1	42	14.3
N	3926		11	51	28.2	+	22	1	35	14.7
N	3927	*	11	31	41.9	+	28	9	14	13.2
N	3928	*	11	51	47.6	+	48	40	59	12.6
N	3929	*	11	51	42.5	+	21	0	12	14.0
N	3930	*	11	51	45.7	+	38	0	52	12.4
N	3930		11	52	2.2	+	38	1	11	15.7
N	3931	*	11	51	13.4	+	52	0	5	13.4
N	3932	*	11	51	53.0	+	48	40	3	
N	3933	*	11	52	1.9	+	16	48	36	13.6
N	3934	*	11	52	12.5	+	16	51	6	13.6
N	3935	*	11	52	23.9	+	32	24	16	13.3
N	3936	*	11	52	20.4	-	26	54	21	12.1
N	3937	*	11	52	42.6	+	20	37	54	12.5
N	3938	*	11	52	49.2	+	44	7	17	10.4
N	3939	*	11	49	19.5	+	74	18	7	13.3
N	3940	*	11	52	46.5	+	20	59	23	12.8
N	3941	*	11	52	55.3	+	36	59	13	10.3
N	3942	*	11	51	30.0	-	11	25	29	13.2
N	3943	*	11	52	56.6	+	20	28	45	13.4
N	3944	*	11	53	5.0	+	26	12	27	12.9
N	3945	*	11	53	13.4	+	60	40	31	10.9
N	3946	*	11	53	20.6	+	21	1	17	14.3
N	3947	*	11	53	20.3	+	20	45	6	13.2
N	3948	*	11	53	36.6	+	20	57	4	
N	3949	*	11	53	41.4	+	47	51	36	11.1
N	3950	*	11	53	41.1	+	47	53	6	15.7
N	3951	*	11	53	41.3	+	23	22	56	13.6
N	3952	*	11	53	40.1	-	3	59	50	13.1
N	3953	*	11	53	48.4	+	52	19	30	10.1
N	3954	*	11	53	41.7	+	20	52	57	13.7
N	3955	*	11	53	57.2	-	23	9	52	12.0
N	3956	*	11	54	0.9	-	20	34	0	12.0
N	3957	*	11	54	1.5	-	19	34	8	11.8
N	3958	*	11	54	33.5	+	58	22	0	13.0
N	3959	*	11	54	37.6	-	7	45	23	13.7
N	3960	*	11	50	33.1	-	55	40	35	8.3
N	3961	*	11	54	57.5	+	69	19	47	13.5
N	3962	*	11	54	39.8	-	13	58	29	10.7
N	3963	*	11	54	58.8	+	58	29	36	11.9
N	3964	*	11	54	53.4	+	28	15	46	14.0
N	3965	*	11	54	23.1	-	10	51	59	15.7
N	3966	*	11	56	44.2	+	32	1	17	12.7
N	3967	*	11	55	10.3	-	7	50	35	13.4
N	3968	*	11	55	28.7	+	11	58	7	11.8
N	3969	*	11	55	9.1	-	18	55	38	12.9
N	3970	*	11	55	28.1	-	12	3	41	13.4
N	3971	*	11	55	36.3	+	29	59	45	12.7
N	3972	*	11	55	45.3	+	55	19	12	12.3
N	3973	*	11	55	37.0	+	11	59	50	15.0
N	3974	*	11	55	40.1	-	12	1	38	13.4
N	3975	*	11	55	53.7	+	60	31	47	15.3
N	3976	*	11	55	57.2	+	6	44	54	11.5
N	3976		11	56	2.6	+	6	40	39	14.9
N	3977	*	11	56	7.3	+	55	23	27	13.4
N	3978	*	11	56	10.6	+	60	31	22	12.7
N	3979	*	11	56	1.1	-	2	43	14	12.9
N	3980	*	11	56	7.3	+	55	23	27	13.4
N	3981	*	11	56	7.0	-	19	53	50	11.0
N	3982	*	11	56	28.0	+	55	7	30	11.0
N	3983	*	11	56	23.6	+	23	52	5	14.0
N	3984	*	11	55	36.3	+	29	59	45	12.7
N	3985	*	11	56	41.5	+	48	20	8	12.5
N	3986	*	11	56	44.2	+	32	1	17	12.7
N	3987	*	11	57	20.9	+	25	11	43	12.9
N	3988	*	11	57	24.2	+	27	52	41	13.3
N	3989	*	11	57	26.6	+	25	13	58	14.9
N	3990	*	11	57	35.5	+	55	27	31	12.6
N	3991	*	11	57	30.7	+	32	20	8	13.1
N	3992	*	11	57	35.4	+	53	22	25	9.8
N	3993	*	11	57	37.6	+	25	14	25	13.7
N	3994	*	11	57	36.8	+	32	16	39	12.7
N	3995	*	11	57	44.0	+	32	17	35	12.4
N	3996	*	11	57	46.1	+	14	17	51	13.5
N	3997	*	11	57	48.5	+	25	16	15	13.5
N	3998	*	11	57	55.9	+	55	27	14	10.7
N	3999	*	11	57	56.4	+	25	4	6	14.7
N	4000	*	11	57	57.0	+	25	8	38	14.6
N	4001	*	11	58	6.7	+	47	20	7	15.3
N	4002	*	11	57	59.3	+	23	12	10	14.1
N	4003	*	11	57	59.0	+	23	7	31	13.3
N	4004	*	11	58	5.1	+	27	52	43	13.7
N	4004		11	58	5.1	+	27	52	43	13.7
N	4004		11	57	51.3	+	27	52	6	14.3
N	4005	*	11	58	10.0	+	25	7	20	13.1
N	4006	*	11	58	5.9	-	2	7	13	12.6
N	4007	*	11	58	10.0	+	25	7	20	13.1
N	4008	*	11	58	17.1	+	28	11	34	12.0
N	4009	*	11	58	15.0	+	25	11	27	
N	4010	*	11	58	37.1	+	47	15	37	12.6
N	4011	*	11	58	25.4	+	25	5	52	14.7
N	4012	*	11	58	27.5	+	10	1	18	13.4
N	4013	*	11	58	31.3	+	43	56	50	11.2
N	4014	*	11	58	35.8	+	16	10	38	12.3
N	4015	*	11	58	42.5	+	25	2	12	12.8
N	4015		11	58	43.0	+	25	2	33	14.8
N	4016	*	11	58	29.0	+	27	31	44	13.8
N	4017	*	11	58	45.7	+	27	27	11	12.6
N	4018	*	11	58	40.6	+	25	19	2	13.8
N	4019	*	12	1	10.5	+	14	6	15	13.2
N	4020	*	11	58	56.8	+	30	24	49	12.7
N	4021	*	11	59	2.5	+	25	5	1	14.8
N	4022	*	11	59	1.0	+	25	13	21	13.0
N	4023	*	11	59	5.3	+	24	59	21	13.7
N	4024	*	11	58	31.5	-	18	20	48	11.7
N	4025	*	11	59	10.0	+	37	47	32	13.6
N	4026	*	11	59	25.0	+	50	57	43	10.8
N	4027		11	59	29.3	-	19	19	55	14.5
N	4027	*	11	59	30.5	-	19	15	57	11.1
N	4028	*	11	58	35.8	+	16	10	38	12.3
N	4029	*	12	0	3.2	+	8	10	56	13.5
N	4030	*	12	0	23.4	-	1	6	2	10.6
N	4031	*	12	0	31.3	+	31	56	48	14.4
N	4032	*	12	0	32.9	+	20	4	29	12.3
N	4033	*	12	0	34.7	-	17	50	36	11.7
N	4034	*	12	1	29.6	+	69	19	26	13.5
N	4035	*	12	0	29.2	-	15	56	57	13.4
N	4036	*	12	1	27.0	+	61	53	46	10.7
N	4037	*	12	1	23.8	+	13	24	2	11.9
N	4038	*	12	1	52.8	-	18	51	52	10.3
N	4039	*	12	1	53.8	-	18	53	8	10.3
N	4040	*	12	2	5.4	+	17	49	26	13.3
N	4041	*	12	2	11.9	+	62	8	13	11.3
N	4042	*	12	2	46.8	+	20	9	51	16.4
N	4043	*	12	2	23.0	+	4	19	48	13.6
N	4044	*	12	2	29.4	-	0	12	45	13.3
N	4045	*	12	2	42.2	+	1	58	37	12.0
N	4045		12	2	42.7	+	1	57	8	14.4
N	4046	*	12	2	42.2	+	1	58	37	12.0
N	4047	*	12	2	50.6	+	48	38	12	12.2
N	4048	*	12	2	50.1	+	18	0	56	13.7
N	4049	*	12	2	54.5	+	18	45	9	13.9
N	4050	*	12	2	53.9	-	16	22	27	12.2
N	4051	*	12	3	9.6	+	44	31	55	10.2
N	4052	*	12	2	0.0	-	63	13	18	8.8
N	4053	*	12	3	11.5	+	19	43	45	13.6
N	4054	*	12	3	12.3	+	57	53	36	14.4
N	4054		12	3	13.7	+	57	53	29	15.0
N	4055	*	12	4	1.5	+	20	13	58	13.1
N	4056	*	12	3	57.8	+	20	18	47	15.5
N	4057	*	12	4	6.3	+	20	14	9	12.6
N	4058	*	12	3	48.9	+	3	32	53	13.1
N	4059	*	12	4	11.3	+	20	24	35	13.1
N	4060	*	12	4	1.0	+	20	20	17	14.7
N	4061	*	12	4	1.5	+	20	13	58	13.1
N	4062	*	12	4	3.8	+	31	53	43	11.1
N	4063	*	12	4	5.9	+	1	50	49	13.9
N	4064	*	12	4	11.0	+	18	26	36	11.5
N	4065	*	12	4	6.3	+	20	14	9	12.6
N	4066	*	12	4	9.4	+	20	20	52	12.9
N	4067	*	12	4	11.5	+	10	51	16	12.5
N	4068	*	12	4	2.3	+	52	35	26	12.4
N	4069	*	12	4	6.1	+	20	19	28	15.2
N	4070	*	12	4	11.3	+	20	24	35	13.1
N	4071	*	12	4	15.3	-	67	18	33	13.0
N	4072	*	12	4	13.9	+	20	12	37	14.8
N	4073	*	12	4	27.1	+	1	53	47	11.4
N	4074	*	12	4	29.7	+	20	19	1	14.5
N	4075	*	12	4	37.8	+	2	4	22	13.7
N	4076	*	12	4	32.6	+	20	12	16	13.4
N	4077	*	12	4	38.0	+	1	47	18	13.3
N	4078	*	12	4	47.7	+	10	35	45	13.2
N	4079	*	12	4	49.9	-	2	22	59	12.4
N	4080	*	12	4	51.9	+	26	59	32	13.7
N	4081	*	12	4	33.2	+	64	26	14	12.9
N	4082	*	12	5	11.4	+	10	40	15	14.8
N	4083	*	12	5	14.0	+	10	36	49	14.6
N	4084	*	12	5	15.3	+	21	12	54	14.5
N	4085	*	12	5	22.4	+	50	21	12	12.4
N	4086	*	12	5	29.3	+	20	14	50	13.6
N	4087	*	12	5	35.3	-	26	31	20	12.1
N	4088	*	12	5	34.6	+	50	32	26	10.6
N	4089	*	12	5	37.5	+	20	33	23	13.7
N	4090	*	12	5	28.0	+	20	18	33	13.9
N	4091	*	12	5	40.2	+	20	33	23	14.5
N	4092	*	12	5	50.2	+	20	28	39	13.3
N	4093	*	12	5	51.4	+	20	31	20	14.3
N	4094	*	12	5	53.9	-	14	31	34	12.0
N	4095	*	12	5	54.2	+	20	34	25	13.6
N	4096	*	12	6	0.9	+	47	28	33	10.9
N	4097	*	12	6	2.4	+	36	51	50	13.4
N	4098	*	12	6	3.6	+	20	36	28	13.1
N	4098		12	6	3.9	+	20	36	19	15.8
N	4099	*	12	6	3.6	+	20	36	28	13.1
N	4099		12	6	3.9	+	20	36	19	15.8
N	4100	*	12	6	8.3	+	49	34	58	11.2
N	4101	*	12	6	10.7	+	25	33	25	13.5
N	4102	*	12	6	23.3	+	52	42	39	11.2
N	4103	*	12	6	39.5	-	61	15	0	7.4
N	4104	*	12	6	38.7	+	28	10	25	12.1
N	4105	*	12	6	40.6	-	29	45	36	10.7
N	4106	*	12	6	45.5	-	29	46	6	11.4
N	4107	*	12	4	47.7	+	10	35	45	13.2
N	4108	*	12	6	44.3	+	67	9	48	12.3
N	4108		12	5	49.7	+	67	15	9	13.8
N	4108		12	7	11.6	+	67	14	8	13.7
N	4109	*	12	6	51.1	+	42	59	46	14.1
N	4110	*	12	7	3.4	+	18	31	55	13.7
N	4111	*	12	7	2.9	+	43	4	0	10.7
N	4112	*	12	7	9.2	-	40	12	28	12.0
N	4113	*	12	7	8.5	+	32	59	46	14.7
N	4114	*	12	7	12.2	-	14	11	5	13.1
N	4115	*	12	7	9.4	+	14	24	25	
N	4116	*	12	7	37.0	+	2	41	28	12.0
N	4117	*	12	7	46.1	+	43	7	35	13.0
N	4118	*	12	7	52.9	+	43	6	41	14.6
N	4119	*	12	8	9.5	+	10	22	44	11.4
N	4120	*	12	8	31.4	+	69	32	40	13.5
N	4121	*	12	7	56.5	+	65	6	52	13.5
N	4122	*	12	7	8.5	+	32	59	46	14.7
N	4123	*	12	8	11.2	+	2	52	42	11.4
N	4124	*	12	8	9.5	+	10	22	44	11.4
N	4125	*	12	8	5.5	+	65	10	28	9.7
N	4126	*	12	8	37.4	+	16	8	35	13.4
N	4127	*	12	8	25.8	+	76	48	16	12.7
N	4128	*	12	8	32.2	+	68	46	5	12.0
N	4128		12	8	14.3	+	68	47	9	15.0
N	4129	*	12	8	53.2	-	9	2	12	12.5
N	4130	*	12	8	53.2	-	9	2	12	12.5
N	4131	*	12	8	47.1	+	29	18	17	13.3
N	4132	*	12	9	1.5	+	29	15	1	14.0
N	4133	*	12	8	49.3	+	74	54	16	12.3
N	4134	*	12	9	9.9	+	29	10	37	12.8
N	4135	*	12	9	8.8	+	44	0	13	13.9
N	4136	*	12	9	17.8	+	29	55	40	11.1
N	4137	*	12	9	17.4	+	44	5	24	14.1
N	4138	*	12	9	29.7	+	43	41	8	11.3
N	4139	*	12	4	34.0	+	1	48	5	13.7
N	4140	*	12	4	38.0	+	1	47	18	13.3
N	4141	*	12	9	47.4	+	58	50	58	13.7
N	4142	*	12	9	30.2	+	53	6	14	13.3
N	4143	*	12	9	36.2	+	42	32	4	10.9
N	4144	*	12	9	59.3	+	46	27	26	11.6
N	4145	*	12	10	1.7	+	39	52	58	11.3
N	4145		12	10	54.3	+	39	45	26	14.5
N	4145		12	10	53.3	+	39	44	55	15.7
N	4146	*	12	10	18.2	+	26	25	52	12.7
N	4147	*	12	10	6.2	+	18	32	33	10.4
N	4148	*	12	10	7.9	+	35	52	42	13.3
N	4149	*	12	10	32.8	+	58	18	14	13.2
N	4150	*	12	10	33.6	+	30	24	7	11.6
N	4151	*	12	10	32.3	+	39	24	24	10.8
N	4152	*	12	10	37.5	+	16	1	59	12.2
N	4153	*	12	10	6.2	+	18	32	33	10.4
N	4154	*	12	10	32.8	+	58	18	14	13.2
N	4155	*	12	10	45.6	+	19	2	28	13.3
N	4156	*	12	10	49.4	+	39	28	23	13.2
N	4157	*	12	11	4.4	+	50	29	5	11.4
N	4158	*	12	11	10.2	+	20	10	33	12.1
N	4159	*	12	10	53.3	+	76	7	35	13.5
N	4160	*	12	12	11.6	+	43	44	18	
N	4161	*	12	11	32.9	+	57	44	15	13.0
N	4162	*	12	11	52.5	+	24	7	26	12.2
N	4163	*	12	12	9.0	+	36	10	7	14.0
N	4164	*	12	12	5.4	+	13	12	21	14.7
N	4165	*	12	12	11.8	+	13	14	46	13.5
N	4166	*	12	12	9.7	+	17	45	26	13.1
N	4167	*	12	12	9.0	+	36	10	7	14.0
N	4168	*	12	12	17.2	+	13	12	16	11.2
N	4169	*	12	12	18.7	+	29	10	46	12.2
N	4170	*	12	12	12.9	+	29	10	2	
N	4171	*	12	12	38.3	+	29	13	30	
N	4172	*	12	12	14.7	+	56	10	35	13.3
N	4173	*	12	12	21.5	+	29	12	26	13.0
N	4174	*	12	12	26.9	+	29	8	57	13.4
N	4175	*	12	12	31.0	+	29	10	7	13.3
N	4176	*	12	12	36.8	-	9	9	37	14.5
N	4177	*	12	12	41.2	-	14	0	50	12.5
N	4178	*	12	12	46.2	+	10	51	51	11.4
N	4179	*	12	12	52.1	+	1	17	59	11.0
N	4180	*	12	13	3.0	+	7	2	22	12.6
N	4181	*	12	12	48.9	+	52	54	14	14.0
N	4182	*	12	13	19.8	+	4	2	10	11.5
N	4183	*	12	13	16.8	+	43	41	53	12.3
N	4184	*	12	13	32.5	-	62	42	47	
N	4185	*	12	13	22.2	+	28	30	37	12.1
N	4186	*	12	14	6.4	+	14	43	33	13.8
N	4187	*	12	13	29.3	+	50	44	30	13.2
N	4187		12	13	29.3	+	50	44	30	13.2
N	4187		12	13	28.8	+	50	45	25	15.2
N	4187		12	13	26.9	+	50	42	37	15.6
N	4188	*	12	14	7.4	-	12	35	10	13.7
N	4189	*	12	13	47.2	+	13	25	29	11.7
N	4190	*	12	13	44.4	+	36	38	1	13.3
N	4191	*	12	13	50.3	+	7	12	3	12.8
N	4192	*	12	13	47.8	+	14	53	58	10.1
N	4192		12	13	26.2	+	14	46	20	15.0
N	4192		12	14	6.4	+	14	43	33	13.8
N	4193	*	12	13	53.4	+	13	10	22	12.3
N	4194	*	12	14	9.7	+	54	31	35	12.5
N	4195	*	12	14	18.1	+	59	36	56	14.2
N	4196	*	12	14	29.6	+	28	25	25	12.8
N	4197	*	12	14	38.6	+	5	48	22	12.8
N	4198	*	12	14	21.8	+	56	0	42	13.6
N	4199	*	12	14	48.6	+	59	54	23	14.3
N	4199		12	14	51.7	+	59	54	30	15.0
N	4200	*	12	14	44.3	+	12	10	51	13.0
N	4201	*	12	14	41.9	-	11	35	0	13.6
N	4202	*	12	18	8.5	-	1	3	50	13.6
N	4203	*	12	15	5.0	+	33	11	51	10.9
N	4204	*	12	15	14.2	+	20	39	32	12.3
N	4205	*	12	14	55.3	+	63	46	56	13.0
N	4206	*	12	15	16.7	+	13	1	22	12.2
N	4207	*	12	15	30.1	+	9	35	8	12.6
N	4208	*	12	15	39.2	+	13	54	7	11.2
N	4209	*	12	15	40.9	+	28	28	14	
N	4210	*	12	15	15.8	+	65	59	10	12.5
N	4211	*	12	15	35.8	+	28	10	39	13.5
N	4211		12	15	35.8	+	28	10	39	13.5
N	4211		12	15	37.3	+	28	10	10	14.3
N	4212	*	12	15	39.2	+	13	54	7	11.2
N	4213	*	12	15	37.5	+	23	58	55	12.5
N	4214	*	12	15	38.8	+	36	19	39	9.8
N	4215	*	12	15	54.6	+	6	24	3	12.1
N	4216	*	12	15	54.0	+	13	8	52	10.0
N	4217	*	12	15	50.6	+	47	5	24	11.2
N	4218	*	12	15	46.0	+	48	7	54	12.5
N	4219	*	12	16	27.4	-	43	19	21	11.9
N	4219		12	17	59.6	-	43	32	26	13.7
N	4220	*	12	16	11.8	+	47	52	59	11.4
N	4221	*	12	16	0.0	+	66	13	53	12.5
N	4222	*	12	16	22.6	+	13	18	25	13.3
N	4223	*	12	17	25.8	+	6	41	22	11.9
N	4224	*	12	16	33.9	+	7	27	44	11.8
N	4225	*	12	16	38.3	-	12	19	37	14.0
N	4226	*	12	16	26.3	+	47	1	32	13.5
N	4227	*	12	16	33.7	+	33	31	20	12.8
N	4228	*	12	15	38.8	+	36	19	39	9.8
N	4229	*	12	16	38.7	+	33	33	40	13.3
N	4230	*	12	17	16.0	-	55	5	12	
N	4231	*	12	16	48.9	+	47	27	29	13.6
N	4232	*	12	16	49.0	+	47	26	20	13.6
N	4233	*	12	17	7.6	+	7	37	27	11.9
N	4234	*	12	17	9.1	+	3	41	0	12.7
N	4235	*	12	17	9.7	+	7	11	27	11.6
N	4236	*	12	16	43.3	+	69	27	49	9.6
N	4236		12	16	43.5	+	69	27	36	15.1
N	4237	*	12	17	11.4	+	15	19	24	11.6
N	4238	*	12	16	56.0	+	63	24	38	13.6
N	4239	*	12	17	14.9	+	16	31	54	12.8
N	4240	*	12	17	24.3	-	9	57	6	12.3
N	4241	*	12	17	59.9	+	6	39	15	13.1
N	4242	*	12	17	30.0	+	45	37	9	10.8
N	4243	*	12	17	24.3	-	9	57	6	12.3
N	4244	*	12	17	29.9	+	37	48	28	10.4
N	4245	*	12	17	36.9	+	29	36	27	11.4
N	4246	*	12	17	58.1	+	7	11	8	12.7
N	4247	*	12	17	57.9	+	7	16	28	13.5
N	4248	*	12	17	50.4	+	47	24	33	12.5
N	4249	*	12	17	59.3	+	5	35	57	14.0
N	4250	*	12	17	25.9	+	70	48	10	11.8
N	4251	*	12	18	8.4	+	28	10	31	10.7
N	4252	*	12	18	30.9	+	5	33	36	14.0
N	4253	*	12	18	26.4	+	29	48	47	13.1
N	4254	*	12	18	49.3	+	14	25	3	9.9
N	4255	*	12	18	56.1	+	4	47	11	12.8
N	4256	*	12	18	42.8	+	65	53	54	11.9
N	4257	*	12	19	6.5	+	5	43	34	14.0
N	4258	*	12	18	57.8	+	47	18	25	8.4
N	4259	*	12	19	22.1	+	5	22	37	13.6
N	4260	*	12	19	22.2	+	6	5	54	11.8
N	4261	*	12	19	23.1	+	5	49	28	10.4
N	4262	*	12	19	30.6	+	14	52	40	11.6
N	4263	*	12	19	42.2	-	12	13	32	12.6
N	4264	*	12	19	35.6	+	5	50	49	12.8
N	4265	*	12	19	42.2	-	12	13	32	12.6
N	4266	*	12	19	42.1	+	5	32	17	13.7
N	4267	*	12	19	45.3	+	12	47	54	10.9
N	4268	*	12	19	47.1	+	5	17	3	12.8
N	4269	*	12	19	49.2	+	6	0	55	12.9
N	4270	*	12	19	49.4	+	5	27	48	12.2
N	4271	*	12	19	32.7	+	56	44	14	12.6
N	4272	*	12	19	47.6	+	30	20	20	13.1
N	4273	*	12	19	56.0	+	5	20	37	11.9
N	4274	*	12	19	50.8	+	29	36	49	10.4
N	4275	*	12	19	52.6	+	27	37	16	12.8
N	4276	*	12	20	7.7	+	7	41	29	12.5
N	4277	*	12	20	3.6	+	5	20	31	12.4
N	4278	*	12	20	6.7	+	29	16	49	10.2
N	4279	*	12	20	24.9	-	11	39	58	13.6
N	4280	*	12	20	31.9	-	11	39	9	
N	4281	*	12	20	21.6	+	5	23	11	11.3
N	4282	*	12	20	24.2	+	5	34	24	14.1
N	4283	*	12	20	20.6	+	29	18	39	12.1
N	4284	*	12	20	12.8	+	58	5	36	13.5
N	4285	*	12	20	39.8	-	11	38	32	14.1
N	4286	*	12	20	42.1	+	29	20	44	13.1
N	4287	*	12	20	48.4	+	5	38	26	14.3
N	4288	*	12	20	38.0	+	46	17	40	12.9
N	4288		12	20	40.6	+	46	15	19	14.5
N	4289	*	12	21	2.4	+	3	43	22	14.0
N	4290	*	12	20	47.5	+	58	5	33	12.0
N	4291	*	12	20	17.3	+	75	22	16	11.5
N	4292	*	12	21	16.4	+	4	35	46	12.2
N	4292		12	21	16.7	+	4	37	59	15.0
N	4293	*	12	21	12.9	+	18	22	58	10.4
N	4294	*	12	21	17.8	+	11	30	35	12.1
N	4295	*	12	21	9.7	+	28	9	56	13.7
N	4296	*	12	21	28.4	+	6	39	13	12.7
N	4297	*	12	21	27.4	+	6	40	17	14.6
N	4298	*	12	21	32.9	+	14	36	24	11.3
N	4299	*	12	21	40.5	+	11	30	5	12.5
N	4300	*	12	21	41.3	+	5	23	5	12.9
N	4301	*	12	22	27.2	+	4	33	57	13.0
N	4302	*	12	21	42.2	+	14	35	54	11.6
N	4303	*	12	21	54.9	+	4	28	22	9.7
N	4303		12	22	27.2	+	4	33	57	13.0
N	4304	*	12	22	12.7	-	33	29	5	11.7
N	4305	*	12	22	3.6	+	12	44	27	12.6
N	4306	*	12	22	4.2	+	12	47	15	12.6
N	4307	*	12	22	5.2	+	9	2	31	12.0
N	4307		12	22	7.3	+	8	59	26	14.5
N	4308	*	12	21	56.8	+	30	4	27	13.4
N	4309		12	22	14.7	+	7	9	59	15.0
N	4309	*	12	22	12.3	+	7	8	41	12.8
N	4310	*	12	22	26.4	+	29	12	29	12.2
N	4311	*	12	22	26.3	+	29	12	16	
N	4312	*	12	22	31.4	+	15	32	17	11.7
N	4313	*	12	22	38.3	+	11	48	4	12.0
